Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade,,
U,BS1,1,CourseA1,CA1,Major,3,75,,
U,BS1,1,CourseA2,CA2,Minor,4,76,,
U,BS1,2,CourseA3,CA3,Major,3,72,,
U,BS1,2,CourseA4,CA4,Minor,3,66,,
U,BS1,3,CourseA5,CA5,Major,3,78,,
U,BS1,3,CourseA6,CA6,Minor,3,85,,
U,BS1,4,CourseA7,CA7,Major,3,88,,76.375
U,BS1,4,CourseA8,CA8,Minor,4,71,,
G,M1,1,CourseA9,CA9,Major,3,77,,79.16666667
G,M1,1,CourseA10,CA10,Minor,4,65,,
G,M1,2,CourseA11,CA10,Major,4,79,,
G,M1,2,CourseA12,CA12,Minor,3,82,,
G,M1,3,CourseA13,CA13,Minor,3,87,,
G,M1,3,CourseA14,CA14,Major,4,85,,
G,D1,1,CourseA11,CA11,Minor,4,72,,
G,D1,1,CourseA12,CA12,Major,3,81,,
G,D1,2,CourseA13,CA13,Minor,3,84,,
G,D1,2,CourseA14,CA14,Major,4,83,,
